r_err	mag	sus	N	T	h	gamma	n	filetered error
218.8056368	0.811056364	0.342187575	100	1.16	0	2.45	100	218.8056368
217.0514848	0.600843636	0.638986925	100	1.928	0	2.235	100	217.0514848
217.0472917	0.673478182	0.546427139	100	1.256	0	2.155	100	217.0472917
216.2869188	0.006	0.999964	100	2.216	0	2.495	100	216.2869188
215.9638073	0.01564	0.99975539	100	3.56	0	2.22	100	215.9638073
215.8327948	0.889352727	0.209051726	100	0.728	0	2.49	100	215.8327948
215.6076607	0.794701818	0.36844902	100	1.064	0	2.085	100	215.6076607
214.8432963	0.56986	0.67525958	100	1.976	0	2.18	100	214.8432963
214.6136807	0.748354545	0.439965474	100	0.968	0	2.44	100	214.6136807
213.3847318	0.569314545	0.675880948	100	1.064	0	2.055	100	213.3847318
210.3304448	0.593223636	0.648085717	100	2.12	0	2.265	100	210.3304448
210.2328906	0.595429091	0.645464198	100	2.504	0	2.075	100	210.2328906
209.10678	0.730298182	0.466664566	100	1.304	0	2.025	100	209.10678
206.915179	0.695709091	0.515988861	100	1.352	0	2.225	100	206.915179
206.7185463	0.020907273	0.999562886	100	3.56	0	2.21	100	206.7185463
206.624589	0.720181818	0.481338149	100	1.832	0	2.005	100	206.624589
206.0266059	0.719085455	0.482916109	100	0.776	0	2.255	100	206.0266059
204.9792279	0.492234545	0.757705152	100	2.36	0	2.24	100	204.9792279
204.9438833	0.534150909	0.714682806	100	1.592	0	2.29	100	204.9438833
202.3167931	0.709905455	0.496034246	100	1.688	0	2.12	100	202.3167931
201.4856626	0.79732	0.364280818	100	0.872	0	2.37	100	201.4856626
200.9592162	0.089038182	0.992072202	100	3.704	0	2.15	100	200.9592162
200.5193368	0.497930909	0.75206481	100	3.032	0	2.31	100	200.5193368
200.4721202	0.767125455	0.411518537	100	1.208	0	2.28	100	200.4721202
200.0148335	0.727914545	0.470140415	100	1.256	0	2.205	100	200.0148335
199.0638143	0.758754545	0.42429154	100	1.304	0	2.095	100	199.0638143
198.4848835	0.003027273	0.999990836	100	2.312	0	2.395	100	198.4848835
195.3665201	0.001743636	0.99999696	100	3.656	0	2.155	100	195.3665201
193.7183298	0.281747273	0.920618474	100	2.216	0	2.285	100	193.7183298
193.4010673	0.025085455	0.99937072	100	2.216	0	2.305	100	193.4010673
192.8227848	0.54142	0.706864384	100	2.888	0	2.075	100	192.8227848
191.2151788	0.494529091	0.755440978	100	3.368	0	2.16	100	191.2151788
191.1390184	0.635467273	0.596181345	100	1.736	0	2.495	100	191.1390184
190.9212638	0.697765455	0.51312337	100	0.344	0	2.475	100	190.9212638
190.4839537	0.550749091	0.696675439	100	2.408	0	2.335	100	190.4839537
187.0706299	0.017961818	0.999677373	100	2.168	0	2.385	100	187.0706299
186.7554902	0.695676364	0.516034397	100	1.496	0	2.245	100	186.7554902
185.1635153	0.685192727	0.530510926	100	2.216	0	2	100	185.1635153
185.0953639	0.707218182	0.499842443	100	1.496	0	2.07	100	185.0953639
184.6599802	0.639138182	0.591502385	100	1.832	0	2.25	100	184.6599802
184.1311286	0.131650909	0.982668038	100	2.552	0	2.315	100	184.1311286
182.8714468	0.744465455	0.445771187	100	1.112	0	2.13	100	182.8714468
182.4518436	0.001787273	0.999996806	100	4.712	0	2.065	100	182.4518436
182.0803654	0.67752	0.54096665	100	1.976	0	2.06	100	182.0803654
181.9036358	0.59292	0.648445874	100	2.6	0	2.185	100	181.9036358
