r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
0.243313784,0.022894327,9.28E-05,2500,3.176,0,4.04,50,0.238355471,SF
0.873155883,0.304541818,0.001010197,2500,1.16,0,3.98,50,0.855821822,SF
2.307678867,0.293440655,0.000125328,2500,3.848,0,2.42,50,2.261639765,SF
0.591549718,0.287325164,0.000915623,2500,1.256,0,3.74,50,0.579949726,SF
0.402163976,0.019104945,4.28E-05,2500,4.904,0,4.58,50,0.394078996,SF
1.874972464,0.340555491,0.00023378,2500,2.408,0,2.72,50,1.837579239,SF
0.256858415,0.027042327,0.000106763,2500,3.752,0,3.38,50,0.251671242,SF
0.384794926,0.019253382,4.89E-05,2500,4.328,0,5,50,0.377043699,SF
3.288346004,0.389859418,8.02E-05,2500,4.328,0,2.18,50,3.222621861,SF
0.234159768,0.082345891,0.000328379,2500,3.656,0,2.9,50,0.229423155,SF
0.404603378,0.019587855,4.60E-05,2500,4.808,0,4.22,50,0.396458653,SF
1.31121576,0.349851273,0.000455536,2500,1.544,0,3.32,50,1.285109172,SF
0.369826764,0.019506545,4.84E-05,2500,4.52,0,4.22,50,0.362418004,SF
0.152065902,0.053374982,0.000759427,2500,1.736,0,4.04,50,0.148880504,SF
0.381792823,0.019289673,4.32E-05,2500,4.904,0,3.98,50,0.374084048,SF
2.655772954,0.690885236,0.000192302,2500,0.968,0,2.54,50,2.602668394,SF
0.316394434,0.020398036,5.86E-05,2500,4.04,0,3.74,50,0.310045077,SF
0.207976023,0.024376145,0.000142888,2500,2.408,0,4.64,50,0.20368475,SF
0.698780111,0.3704616,0.001266691,2500,0.872,0,4.46,50,0.684930773,SF
2.296140809,0.694786618,0.000111151,2500,1.544,0,2.18,50,2.250233993,SF
3.252895945,0.350951927,7.28E-05,2500,5,0,2.18,50,3.187889035,SF
0.279434024,0.0449984,0.000156591,2500,4.808,0,2.84,50,0.273776679,SF
2.068138357,0.107069382,0.002706383,2500,0.2,0,4.88,50,2.026821259,SF
1.922385529,0.533882909,0.000480383,2500,0.968,0,3.44,50,1.883984937,SF
2.070171063,0.295547709,0.012657746,2500,0.2,0,4.28,50,2.028838385,SF
2.879033667,0.428045455,9.04E-05,2500,3.656,0,2.18,50,2.821506151,SF
2.291539228,0.303776073,8.37E-05,2500,4.808,0,2.42,50,2.245821027,SF
2.264964738,0.494202691,0.000278778,2500,1.448,0,2.9,50,2.219729399,SF
2.501571725,0.6417072,0.000109255,2500,1.928,0,2.18,50,2.45156595,SF
0.18266987,0.029720655,0.000227741,2500,2.216,0,4.28,50,0.178902856,SF
0.214804685,0.084011345,0.000406996,2500,3.368,0,2.96,50,0.210408601,SF
2.639696605,0.636351927,0.000347261,2500,0.776,0,3.08,50,2.586920798,SF
0.114185328,0.123393818,0.002924777,2500,1.256,0,4.88,50,0.11171184,SF
0.401291419,0.019043782,4.33E-05,2500,4.712,0,5,50,0.393188608,SF
2.541756957,0.442604582,0.000175474,2500,2.216,0,2.54,50,2.490987399,SF
0.223474692,0.026458473,0.000126849,2500,3.08,0,3.86,50,0.218910643,SF
1.706782976,0.810185891,0.000158182,2500,0.584,0,2.18,50,1.672678712,SF
0.156875352,0.031564436,0.000306518,2500,1.832,0,4.88,50,0.153609408,SF
1.734474843,0.478338618,0.000808356,2500,0.776,0,3.98,50,1.699828961,SF
0.486738279,0.247925018,0.001361835,2500,1.16,0,4.16,50,0.477270168,SF
0.339068,0.019813236,5.32E-05,2500,4.136,0,4.28,50,0.332185873,SF
0.253782595,0.022437964,9.14E-05,2500,3.08,0,4.34,50,0.248616976,SF
1.666078629,0.354680873,0.000265509,2500,2.216,0,2.72,50,1.632876774,SF
0.182100893,0.0301912,0.000221486,2500,2.312,0,4.16,50,0.178378758,SF
0.193728317,0.025604436,0.000172157,2500,2.216,0,4.88,50,0.189742981,SF
0.146558663,0.041357455,0.000548903,2500,1.64,0,4.76,50,0.143467334,SF
0.356608445,0.02022,4.76E-05,2500,4.808,0,3.68,50,0.349423123,SF
0.271195948,0.042385964,0.000145686,2500,4.52,0,2.96,50,0.265693668,SF
1.94099252,0.803092655,0.000186732,2500,0.488,0,2.36,50,1.902233703,SF
2.093314984,0.565309236,0.000404479,2500,0.968,0,3.26,50,2.051493362,SF
2.340431135,0.645656945,8.67E-05,2500,2.216,0,2,50,2.293633502,SF
1.969088527,0.498673382,0.000906163,2500,0.68,0,4.1,50,1.929738948,SF
0.263277107,0.025290545,8.80E-05,2500,4.04,0,3.38,50,0.257972522,SF
2.599253414,0.608572436,0.000269066,2500,1.064,0,2.78,50,2.547299379,SF
0.429372596,0.018833891,4.02E-05,2500,5,0,4.7,50,0.420778236,SF
0.137297852,0.054091855,0.000929172,2500,1.544,0,4.46,50,0.134384212,SF
0.364270578,0.019740873,4.83E-05,2500,4.52,0,4.4,50,0.356965968,SF
0.121253708,0.183064218,0.002335163,2500,1.256,0,4.46,50,0.118605876,SF
1.269800239,0.423167564,0.001139247,2500,0.776,0,4.46,50,1.244465004,SF
2.769250534,0.457384945,0.000127055,2500,2.792,0,2.36,50,2.713919244,SF
0.158358208,0.029107855,0.000253172,2500,1.832,0,4.94,50,0.155050867,SF
1.23758902,0.426728291,0.001026723,2500,0.776,0,4.34,50,1.212899625,SF
2.22951988,0.550312873,0.000995246,2500,0.584,0,3.98,50,2.184954447,SF
2.327813331,0.5326816,0.003502725,2500,0.296,0,4.1,50,2.281283944,SF
2.693458238,0.4812008,8.67E-05,2500,3.464,0,2.18,50,2.639640493,SF
0.183755421,0.031267345,0.000234165,2500,2.312,0,4.04,50,0.179961514,SF
1.996813667,0.500712218,0.0016816,2500,0.584,0,4.58,50,1.956904708,SF
2.283120144,0.260635491,0.000153013,2500,3.656,0,2.54,50,2.237590675,SF
0.310645868,0.021747127,5.83E-05,2500,4.52,0,3.5,50,0.304403526,SF
0.174999888,0.027853527,0.00022026,2500,2.024,0,4.64,50,0.171386066,SF
0.279681149,0.023559418,7.76E-05,2500,4.04,0,3.44,50,0.274046326,SF
0.198123076,0.027798473,0.000175349,2500,2.504,0,4.04,50,0.194063089,SF
2.656484245,0.564103927,0.000914373,2500,0.488,0,3.92,50,2.603372595,SF
0.367931665,0.019323055,4.83E-05,2500,4.52,0,4.64,50,0.360504474,SF
0.982922979,0.172478836,0.000173923,2500,4.136,0,2.66,50,0.963784541,SF
